TrendID,ProductGroupID,TrendDescription,TrendDate,SalesIncreasePercentage,CustomerInterestLevel,CompetitorAnalysis,SeasonalEffect,MarketShareChange,Region,MarketingCampaignImpact
db9607e1-5aad-4452-a33a-2a76fce57d1a,e696ac87-3719-47cf-8283-c42777827b4c,You charge card lay red for look.,2022-12-04,10.72,High,Go show evening executive guy main many vote much defense.,Moderate,-2.24,Peru,Positive
4b491f5b-5eb3-4ad0-9df7-95cbdea230ca,9291e1d8-12ac-4e4e-a47d-af54bb28777d,Sign office prepare wear arrive occur office word not star sister I ball seat although.,2021-06-15,11.79,Medium,Window you might save exist hundred cost financial with.,High,1.39,Brunei Darussalam,Positive
4bc8bb16-fde0-4341-b724-09a46c308d88,ac025c75-4f2f-4406-b565-2e656637b559,Consumer foot beat economy wrong record difference trouble heart range recent another find financial forget.,2020-07-06,5.46,Medium,Newspaper wear house turn shoulder office world middle against why ok between this.,Low,-1.78,Paraguay,Neutral
2c6f8c58-2bb8-4b61-bfc4-39d57a5ea9f1,e440770a-7cba-4c54-a209-3cd841331c93,Baby conference century put science dog spend house computer store history car far level part report.,2020-05-11,8.6,High,President around safe color them cut air.,None,3.43,United States of America,Negative
c63577ad-bdf3-4f7d-9407-ec86d741e4df,54aa35db-d743-4a51-96c0-b7b37fb3c8b3,Number international address source reduce find since give toward happy young.,2022-06-17,4.34,High,Wide standard common budget food stage hour.,None,-2.33,Cambodia,Negative
9f4d080f-414b-4668-8a0a-2c36868c3d7f,b195bcbb-150d-40b6-834e-fc00fccff78d,Water husband TV station government herself usually.,2023-04-09,5.15,High,Season forget people difficult strategy this live structure participant message consumer Mrs hold.,None,0.64,Sudan,Positive
078968d5-3167-4bd3-aed7-8d273da51a9b,b3e89021-ba56-476d-8af4-6958d9a9965d,Focus media tax small by idea always Republican country.,2022-07-07,18.82,High,Window focus keep finish people financial eight another every require affect medical.,Moderate,-2.71,Greenland,Positive
0cc93400-08b5-4e34-9755-6707369be5c3,0c83dcab-de8b-4e23-b6a2-64e45df28a65,Small approach figure everybody huge treat long fine defense vote shake on.,2024-03-25,17.48,High,Later into indicate him movement student explain moment speech key feel a include.,Moderate,1.41,New Zealand,Negative
092172bd-5045-4fe2-8ef4-2badbdbf8a23,b7320d2c-4236-42db-bedc-aceb2024f235,Try serve dark easy individual fish skin hour identify model although.,2020-02-10,14.61,High,This reach management word old once treat picture.,Low,0.9,Northern Mariana Islands,Positive
dfffdc9e-7bcf-453f-a20d-6bc025caff54,b125c6f1-0d98-42b2-bce7-238747042373,Official local strategy able million compare big hand news sure factor.,2022-02-18,11.58,Low,Four management social role partner sing about despite sure ready.,None,3.16,Oman,Neutral
