ProductID,ProductName,ProductGroupID,Price,StockQuantity,Description,Manufacturer,WarrantyPeriod,ReleaseDate,Length,Width,Height,Weight,Color
ba2f8700-82c1-4aeb-9c37-05ee32c0ec65,Several Tablet,ff184d9a-4dc7-407c-8508-e2c724300bc2,135.01,239,Adult good see pressure recent several between house staff senior option.,Jackson Ltd,1 year,2023-04-16,42.65,16.26,1.2,2.97,Silver
aec425e7-79ba-4602-a8bf-f95237fb2247,Account Laptop,81219bc8-f235-4d79-8be0-e65f04a70654,933.64,278,Leave then various series analysis those eight.,Cochran Ltd,1 year,2021-10-02,19.7,35.27,6.31,3.02,White
01baa292-8ad2-4554-8791-2dc98e1b8ed9,Parent Camera,091fbac9-411a-4195-b510-f93f11aaf655,342.7,404,Spring type herself decade item serve feeling.,"White, Gonzalez and Swanson",6 months,2023-04-07,48.15,19.77,5.58,1.53,Gold
6f627b62-ee47-495e-a88f-6e2934eced5a,Painting Camera,185a526b-5c29-4985-bdde-c14b6b384a51,1693.75,231,During that trouble southern number or may interest discover against.,"Walker, Murphy and Marks",6 months,2023-12-01,42.11,35.09,4.35,2.45,White
15075039-ebd2-49c9-879b-56d546788a7f,Face Laptop,32f5d4ca-ae69-4396-802b-3621fd441194,1122.41,359,Maybe opportunity which sound total skill that great.,Dennis-Ortiz,1 year,2022-02-02,26.53,10.14,4.06,3.12,White
831f7835-5685-4533-86b8-ecd88f31bf2c,Wife Laptop,d34fc15c-2e5c-4482-8358-38a49af1b8ad,1444.56,141,Drop turn democratic shoulder side board.,Jones-Vasquez,1 year,2022-02-25,31.06,46.53,8.31,2.75,Blue
b981847f-6d19-44e6-b070-117fe8617ef7,Follow Smartphone,654e4caf-b3f0-4f7f-8211-8f6e8f6dd5d8,1976.2,99,Seat while politics enough green particularly report.,"Hester, Massey and Barrett",2 years,2020-05-02,46.29,31.26,6.4,1.49,Gold
7d0506e8-1c05-4d0d-95d8-96ebcde7a18f,Song Smartwatch,98ee2648-057b-456a-9ef2-d5b51beae09c,901.53,384,Nor go opportunity work half everyone above medical chance explain raise.,Buchanan-Gibbs,6 months,2021-03-18,39.72,30.13,9.0,0.61,White
02c73851-369b-4f7a-b20f-8d3c5bd3609e,System Smartwatch,65bc0dd1-490c-4c37-8b87-4f4f9cab1814,838.46,290,Mean war start quality night save effort follow late understand.,"Howard, Strong and Green",1 year,2021-07-20,37.64,49.5,6.47,0.63,Blue
3008e9e3-0210-42b8-986a-8d2e15f9f92e,Oil Smartwatch,4f0dd453-f92f-4b0f-bdfb-5cd09332e350,1049.39,288,More contain free fact big occur great here will modern late marriage.,Thomas-Peterson,1 year,2022-09-21,31.52,39.93,9.79,1.2,Silver
3af4cea3-e083-4fc6-a2e4-4c2bdc5dd416,Moment Smartwatch,e8458420-28fa-4972-acfe-5d2963d7c077,652.27,344,Security interesting my old rest have table look check either past carry just.,"Greene, Moon and Gonzalez",1 year,2022-11-17,34.44,15.53,3.59,4.45,Blue
9bcac830-b241-4f28-b569-16ceb9604c8d,Last Camera,016e04e5-ca87-4cdf-88c2-156b28cd3e4d,1175.32,253,Join likely enough subject base college manager.,"Armstrong, Harrington and Kelly",6 months,2022-04-21,23.35,37.51,2.49,2.9,Silver
5604db62-6e60-48cf-9c33-8042c7e510d2,Six Smartphone,628111c2-2bd8-40d4-9864-6a0b85c44a0a,1361.03,289,Leave response around for under nature modern impact once international.,"Mitchell, Glover and Cochran",2 years,2021-03-17,38.47,37.0,5.15,1.9,Blue
